time	I(L1)
1.469788027962743e-003	1.858348e-007
1.473043236296076e-003	1.891376e-007
1.476298444629410e-003	1.883116e-007
1.479553652962743e-003	1.838199e-007
1.486064069629410e-003	1.657956e-007
1.492574486296077e-003	1.390187e-007
1.495829694629410e-003	1.226762e-007
1.499084902962744e-003	1.064537e-007
1.502340111296077e-003	9.035121e-008
1.505595319629410e-003	7.436867e-008
1.508850527962744e-003	5.850611e-008
1.512105736296077e-003	4.276354e-008
1.515360944629411e-003	2.714095e-008
1.521871361296077e-003	8.119277e-010
1.528381777962744e-003	-2.018770e-008
1.534892194629411e-003	-3.537303e-008
1.541402611296078e-003	-4.479480e-008
1.547913027962745e-003	-4.892591e-008
1.557678652962745e-003	-4.694625e-008
1.562793980343697e-003	-4.191986e-008
1.567909307724650e-003	-3.658371e-008
1.573024635105602e-003	-3.093778e-008
1.578139962486555e-003	-2.498208e-008
1.583255289867507e-003	-1.871662e-008
1.588370617248460e-003	-1.214138e-008
1.593485944629412e-003	-5.256382e-009
1.601391450581794e-003	1.916182e-009
1.609296956534175e-003	7.347292e-009
1.617202462486556e-003	1.103695e-008
1.625107968438937e-003	1.298515e-008
1.633013474391318e-003	1.319190e-008
1.640918980343699e-003	1.165719e-008
1.648824486296080e-003	8.381027e-009
1.666666666666670e-003	2.346509e-009
1.666666757385407e-003	-1.840236e-009
1.666666848104145e-003	-1.183894e-008
1.666666938822882e-003	-2.764961e-008
1.666667029541619e-003	-4.927224e-008
1.666667120260356e-003	-7.670682e-008
1.666667210979094e-003	-1.099534e-007
1.666667301697831e-003	-1.490119e-007
1.666667666666670e-003	-3.316504e-007
1.667009355707587e-003	-2.262967e-004
1.667351044748504e-003	-4.488795e-004
1.667692733789420e-003	-6.680800e-004
1.668034422830337e-003	-8.838983e-004
1.668376111871254e-003	-1.096334e-003
1.668717800912171e-003	-1.305388e-003
1.669059489953088e-003	-1.511060e-003
1.671133466727115e-003	-2.697850e-003
1.674057002045661e-003	-4.196678e-003
1.677312210378995e-003	-5.627694e-003
1.680567418712328e-003	-6.797700e-003
1.683822627045662e-003	-7.705539e-003
1.687077835378995e-003	-8.361479e-003
1.690333043712328e-003	-8.779702e-003
1.693588252045662e-003	-8.977594e-003
1.696843460378995e-003	-8.975054e-003
1.700098668712329e-003	-8.793822e-003
1.703353877045662e-003	-8.456852e-003
1.706609085378995e-003	-7.987716e-003
1.709864293712329e-003	-7.410073e-003
1.713119502045662e-003	-6.747182e-003
1.716374710378996e-003	-6.021489e-003
1.719629918712329e-003	-5.254260e-003
1.722885127045662e-003	-4.465289e-003
1.726140335378996e-003	-3.672662e-003
1.729395543712329e-003	-2.892579e-003
1.732650752045663e-003	-2.139239e-003
1.735905960378996e-003	-1.424768e-003
1.739161168712329e-003	-7.592068e-004
1.742416377045663e-003	-1.505344e-004
1.745671585378996e-003	3.952686e-004
1.748926793712330e-003	8.741228e-004
1.752182002045663e-003	1.283725e-003
1.755437210378996e-003	1.623401e-003
1.758692418712330e-003	1.893946e-003
1.761947627045663e-003	2.097447e-003
1.765202835378997e-003	2.237101e-003
1.768458043712330e-003	2.317033e-003
1.771713252045664e-003	2.342112e-003
1.774968460378997e-003	2.317774e-003
1.778223668712330e-003	2.249853e-003
1.781478877045664e-003	2.144420e-003
1.784734085378997e-003	2.007636e-003
1.787989293712331e-003	1.845622e-003
1.791244502045664e-003	1.664339e-003
1.794499710378997e-003	1.469487e-003
1.797754918712331e-003	1.266419e-003
1.801010127045664e-003	1.060075e-003
1.804265335378998e-003	8.549239e-004
1.807520543712331e-003	6.549265e-004
1.810775752045664e-003	4.635134e-004
1.814030960378998e-003	2.835726e-004
1.817286168712331e-003	1.174505e-004
1.820541377045665e-003	-3.303573e-005
1.823796585378998e-003	-1.665775e-004
1.827051793712331e-003	-2.823457e-004
1.830307002045665e-003	-3.799552e-004
1.833562210378998e-003	-4.594250e-004
1.836817418712332e-003	-5.211334e-004
1.840072627045665e-003	-5.657721e-004
1.843327835378999e-003	-5.942982e-004
1.846583043712332e-003	-6.078867e-004
1.849838252045665e-003	-6.078832e-004
1.853093460378999e-003	-5.957586e-004
1.856348668712332e-003	-5.730665e-004
1.859603877045666e-003	-5.414030e-004
1.862859085378999e-003	-5.023704e-004
1.866114293712332e-003	-4.575445e-004
1.869369502045666e-003	-4.084460e-004
1.872624710378999e-003	-3.565165e-004
1.875879918712333e-003	-3.030977e-004
1.879135127045666e-003	-2.494161e-004
1.882390335378999e-003	-1.965705e-004
1.885645543712333e-003	-1.455242e-004
1.888900752045666e-003	-9.710032e-005
1.892155960379000e-003	-5.198071e-005
1.895411168712333e-003	-1.070746e-005
1.898666377045666e-003	2.631268e-005
1.901921585379000e-003	5.880179e-005
1.905176793712333e-003	8.660238e-005
1.908432002045667e-003	1.096675e-004
1.911687210379000e-003	1.280497e-004
1.914942418712334e-003	1.418891e-004
1.918197627045667e-003	1.514016e-004
1.921452835379000e-003	1.568656e-004
1.924708043712334e-003	1.586103e-004
1.927963252045667e-003	1.570035e-004
1.931218460379001e-003	1.524398e-004
1.934473668712334e-003	1.453304e-004
1.937728877045667e-003	1.360923e-004
1.940984085379001e-003	1.251403e-004
1.944239293712334e-003	1.128782e-004
1.947494502045668e-003	9.969226e-005
1.950749710379001e-003	8.594541e-005
1.954004918712334e-003	7.197248e-005
1.957260127045668e-003	5.807654e-005
1.960515335379001e-003	4.452636e-005
1.963770543712334e-003	3.155473e-005
1.967025752045668e-003	1.935768e-005
1.970280960379001e-003	8.094600e-006
1.973536168712335e-003	-2.110988e-006
1.976791377045668e-003	-1.117003e-005
1.980046585379001e-003	-1.902596e-005
1.983301793712335e-003	-2.565233e-005
1.986557002045668e-003	-3.105007e-005
1.989812210379002e-003	-3.524452e-005
1.993067418712335e-003	-3.828225e-005
1.996322627045669e-003	-4.022787e-005
1.999577835379002e-003	-4.116078e-005
2.002833043712335e-003	-4.117197e-005
2.006088252045669e-003	-4.036097e-005
2.009343460379002e-003	-3.883291e-005
2.012598668712336e-003	-3.669588e-005
2.015853877045669e-003	-3.405840e-005
2.019109085379002e-003	-3.102721e-005
2.022364293712336e-003	-2.770536e-005
2.025619502045669e-003	-2.419055e-005
2.028874710379003e-003	-2.057374e-005
2.032129918712336e-003	-1.693810e-005
2.035385127045669e-003	-1.335816e-005
2.038640335379003e-003	-9.899280e-006
2.041895543712336e-003	-6.617324e-006
2.045150752045670e-003	-3.558592e-006
2.048405960379003e-003	-7.599184e-007
2.051661168712336e-003	1.751034e-006
2.054916377045670e-003	3.955333e-006
2.058171585379003e-003	5.842211e-006
2.061426793712337e-003	7.408394e-006
2.064682002045670e-003	8.657357e-006
2.067937210379003e-003	9.598526e-006
2.071192418712337e-003	1.024644e-005
2.074447627045670e-003	1.061992e-005
2.077702835379004e-003	1.074122e-005
2.080958043712337e-003	1.063521e-005
2.084213252045671e-003	1.032860e-005
2.087468460379004e-003	9.849213e-006
2.090723668712337e-003	9.225310e-006
2.093978877045671e-003	8.484971e-006
2.097234085379004e-003	7.655557e-006
2.100489293712338e-003	6.763250e-006
2.103744502045671e-003	5.832647e-006
2.106999710379004e-003	4.886449e-006
2.110254918712338e-003	3.945212e-006
